iter	Passed	Remaining
0	150	150092
1	150	75193
2	153	51151
3	154	38472
4	154	30840
5	155	25789
6	156	22164
7	156	19440
8	164	18116
9	165	16345
10	165	14895
11	166	13685
12	173	13135
13	173	12218
14	178	11700
15	178	10996
16	179	10374
17	181	9926
18	182	9423
19	182	8965
20	183	8559
21	184	8182
22	184	7844
23	191	7777
24	193	7544
25	194	7268
26	194	7013
27	195	6776
28	195	6557
29	196	6352
30	197	6161
31	197	5980
32	198	5810
33	198	5650
34	199	5499
35	199	5350
36	200	5215
37	200	5082
38	201	4961
39	201	4846
40	202	4741
41	203	4637
42	203	4538
43	204	4440
44	205	4350
45	205	4264
46	206	4183
47	206	4103
48	207	4022
49	207	3948
50	208	3872
51	208	3804
52	209	3738
53	209	3674
54	210	3613
55	210	3554
56	211	3498
57	212	3444
58	213	3409
59	214	3358
60	214	3307
61	215	3258
62	216	3214
63	216	3167
64	217	3124
65	217	3080
66	218	3038
67	218	2998
68	219	29569	223	2967
70	223	2929
71	224	2896
7272	224	2854
73	225	2819
74	225	2786
75	226	2758
76	227	2726
77	228	2695
78	228	2664
79	229	2635
80	229	26081	234	2630
82	235	2603
83	236	2576
84	240	2585
85	240	2559
86	241	2529
87	241	2503
88	241	2476
89	242	2451
90	243	2427
91	243	2404
92	244	2381
93	244	2358
94	245	2336
95	245	2314
96	246	2293
97	246	2272
98	247	2255
99	248	2235
100	249	2216
10101	254	2239
102	255	2221
103	257	2216
104	257	2197
105	258	2178
106	258	2160
107	259	2142
108	259	2125
109	260	2110
110	272	2182
111	273	2164
112	273	2147
113	274	2130
114	274	2114
115	276	2105
116	279	2106
117	279	2090
118	281	2080
119	282	2069
120	282	2054
121	283	2042
122	284	2028
123	289	2046
124	290	2031
125	290	2015
126	291	2001
127	291	1988
128	292	1975
129	293	1962
130	293	1948
131	294	1935
132	294	1922
133	295	1910
134	302	1935
135	302	1922
136	303	1909
137	303	1896
138	304	1884
139	304	1872
140	305	1860
141	311	1883
142	312	1872
143	312	1859
144	313	1848
145	314	1836
146	314	1825
147	315	1817
148	316	1806
149	317	1797
150	317	1787
151	318	1777
152	319	176153	323	1776
154	323	1766
155	325	1763
156	326	1753
157	328	1751
158	329	1741
159	329	1732
160	330	1722
161	331	1715
162	332	1706
163	332	1696
164	333	1689
165	334	1682
166	342	1710
167	343	1701
168	344	1692
169	344	1683
170	345	1674
171	346	1667
172	346	1658
173	347	1649
174	348	1640
175	350	1641
176	352	1640
177	353	1631
178	353	1623
179	354	1615
180	355	1607
181	355	1599
182	356	1590
183	356	1582
184	357	1574
185	358	1566
186	359	1561
187	359	1553
188	360	1545
189	360	1538
190	361	1531
191	361	1523
192	362	1515
193	363	1508
194	363	1501
195	364	1496
196	365	1491
197	366	1484
198	367	1479
199	368	1472
200	368	1465
201	369	1458
202	369	1452
203	370	1445
204	371	1438
205	371	1432
206	372	1425
207	372	1418
208	373	1412
209	377	1419
210	380	1422
211	381	1416
212	381	1410
213	382	1403
214	383	1398
215	387	1407
216	388	1401
217	389	1397
218	390	1391
219	390	1385
220	391	1379
221	392	1373
222	392	1367
223	393	1362
224	393	1356
225	394	1350
226	394	1344
227	395	1339
228	396	1334
229	399	1338
230	402	1340
231	405	1341
232	405	1335
233	406	1329
234	406	1324
235	408	1323
236	413	1332
237	414	1327
238	415	1322
239	415	1316
240	416	1311
241	416	1306
242	417	1300
243	418	1295
244	421	1299
245	422	1294
246	423	1289
247	429	1302
248	430	1297
249	430	1291
250	431	1286
251	431	1281
252	432	1276
253	432	1271
254	433	1265
255	435	1265
256	435	1260
257	436	1255
258	437	1251
259	437	1246
260	445	1262
261	446	1257
262	447	1252
263	447	1248
264	453	1256
265	453	1252
266	454	1247
267	455	1243
268	455	1238
269	456	1233
270	456	1228
271	457	1224
272	458	1220
273	458	1215
274	459	1210
275	459	1206
276	460	1201
277	461	1197
278	461	1192
279	462	1188
280	462	1183
281	463	1179
282	463	1175
283	464	1170
284	466	1170
285	470	1174
286	471	1170
287	471	1165
288	472	1161
289	472	1157
290	475	1158
291	475	1153
292	476	1149
293	477	1145
294	477	1141
295	478	1137
296	478	1133
297	481	1133
298	481	1129
299	482	1125
300	482	1121
301	483	1117
302	483	1113
303	491	1124
304	491	1121
305	492	1117
306	493	1113
307	493	1109
308	494	1105
309	495	1101
310	495	1098
311	496	1094
312	497	1090
313	497	1087
314	498	1083
315	498	1079
316	499	1075
317	500	1072
318	500	1068
319	506	1076
320	510	1079
321	511	1076
322	511	1072
323	512	1068
324	512	1065
325	513	1061
326	514	1058
327	514	1054
328	515	1051
329	515	1047
330	516	1043
331	517	1040
332	517	1036
333	518	1033
334	518	1030
335	519	1026
336	520	1023
337	520	1020
338	523	1021
339	525	1020
340	527	1019
341	528	1015
342	528	1012
343	529	1009
344	530	1007
345	531	1004
346	533	1004
347	534	1000
348	542	1011
349	544	1010
350	544	1007
351	545	1004
352	546	1000
353	546	997
354	547	994
355	547	991
356	548	987
357	548	984
358	550	983
359	551	979
360	551	976
361	552	973
362	553	971
363	554	968
364	555	965
365	555	962
366	556	959
367	556	956
368	557	953
369	557	950
370	558	947
371	559	944
372	559	941
373	560	938
374	561	935
375	561	932
376	562	929
377	562	926
378	564	924
379	565	922
380	565	919
381	566	916
382	567	913
383	567	911
384	568	908
385	569	905
386	572	906
387	572	903
388	573	900
389	573	897
390	574	894
391	575	892
392	575	889
393	576	886
394	577	884
395	578	881
396	578	879
397	579	876
398	580	873
3402	577	8544403	577	8524404	578	8494405	579	8474406	579	8444407	589	855
408	590	853
409	592	852
410	592	849
411	593	846
412	593	844
413	594	841
414	597	841
415	597	839
416	598	836
417	599	834
418	599	831
419	600	829
420	601	826
421	601	824
422	602	821
423	602	819
424	603	816
425	604	814
426	605	811
427	605	809
428	606	806
429	606	804
430	607	801
431	607	799
432	608	796
433	608	794
434	609	792
435	614	794
436	614	792
437	615	789
438	616	787
439	617	785
440	619	785
441	620	783
442	620	780
443	621	778
444	622	775
445	622	773
446	623	771
447	623	768
448	627	769
449	627	767
450	628	765
451	629	762
452	633	765
453	636	765
454	646	774
455	648	774
456	650	773
457	651	770
458	651	768
459	652	765
460	652	763
461	653	761
462	654	758
463	655	756
464	655	754
465	656	751
466	656	749
467	657	747
468	658	745
469	658	742
470	659	740
471	660	738
472	660	736
473	661	734
474	662	732
475	663	729
476	663	727
477	666	727
478	667	725
479	667	723
480	668	721
481	668	718
482	669	716
483	670	714
484	670	712
485	671	709
486	671	707
487	672	705
488	673	703
489	6489	682490	6490	683	708
491	683	706
492	684	704
493	685	702
494	687	701
495	688	699
496	688	697
497	689498	682	685
499	683	683
500	683	680
501501	694	688
502	695	686
503	696	685
50504	698505505	699	650650506	699507	6507	70050850508	701509509	702	6510510	704	674
511	705	672
512	712	675
513	712	673
514	713	671
515	713	669
516	714	667
517	714	665
518	715	663
519	716	660
520	716	658
521	717	656
522	717	654
523	718	6524524	721	653
525	723	652
526	724	650
527	730	652
528	739	658
529	739	656
530	745	658
531	746	656
532	746	654
533	749	653
534	749	651
535	750	649
536	750	647
537	751	645
538	757	647
539	758	645
540	762	646
541	763	645
542	763	642
543	764	640
544	765	638
545	765	636
546	766	634
547	767	633
548	768	631
549	768	629
550	769	627
551	770	624
552	770	622
553	776	625
554	777	623
555	778	621
556	778	619
557	779	617
558	779	615
559	780	613
560	786	615
561	794	619
562	794	617
563	796	615
564	797	614
565	798	612
566	801	611
567	801	609
568	802	607
569	802	605
570	803	603
571	804	601
572	804	599
573	805	597
574	806	596
575	807	594
576	807	592
577	808	590
578	808	588
579	809	586
580	810	584
581	810	582
582	811	580
583	811	578
584	812	576
585	812	574
586	813	572
587	814	570
588	819	571
589	821	571
590	822	569
591	823	567
592	823	565
593	826	564
594	827	562
595	827	560
596	830	560
597	832	559
598	834	558
599	835	556
600	835	554
601	836	552
602	836	550
603	837	549
604	842	550
605	842	548
606	844	546
607	845	545
608	845	543
609	846	541
610	849	541
611	850	539
612	856	540
613	857	538
614	857	536
615	858	534
616	858	533
617	859	531
618	860	529
619	865	530
620	869	530
621	871	529
622	872	528
623	873	526
624	873	524
625	874	522
626	877	521
627	877	519
628	878	518
629	878	516
630	879	514
631	881	513
632	881	511
633	882	509
634	882	507
635	883	505
636	884	503
637	884	501
638	885	500
639	887	499
640	888	497
641	888	495
642	889	493
643	889	491
644	892	491
645	893	489
646	893	487
647	894	485
648	896	484
649	896	482
650	901	483
651	905	483
652	911	484
653	913	483
654	913	481
655	915	480
656	916	478
657	916	476
658	918	475
659	921	474
660	922	473
661	923	471
662	925	470
663	925	468
664	926	466
665	927	465
666	927	463
667	928	461
668	929	460
669	930	458
670	931	456
671	931	454
672	933	453
673	933	451
674	934	449
675	934	448
676	935	446
677	935	444
678	937	443
679	937	441
680	938	439
681	939	437
682	939	436
683	940	434
684	940	432
685	942	431
686	943	429
687	945	428
688	945	426
689	946	425
690	946	423
691	948	422
692	948	420
693	949	418
694	949	416
695	950	415
696	950	413
697	951	411
698	953	410
699	954	409
700	955	407
701	955	405
702	957	404
703	960	403
704	960	402
705	964	401
706	965	400
707	966	398
708	968	397
709	968	395
710	969	394
711	969	392
712	970	390
713	971	388
714	971	387
715	972	385
716	973	384
717	974	382
718	975	381
719	975	379
720	976	377
721	977	376
722	978	374
723	980	373
724	982	372
725	984	371
726	984	369
727	985	368
728	986	366
729	986	364
730	987	363
731	988	361
732	991	360
733	992	359
734	995	358
735	996	357
736	996	355
737	997	354
738	997	352
739	998	350
740	1002	350
741	1003	348
742	1004	347
743	1005	345
744	1006	344
745	1007	342
746	1009	341
747	1010	340
748	1011	338
749	1011	337
750	1012	335
751	1013	334
752	1014	332
753	1015	331
754	1015	329
755	1016	328
756	1016	326
757	1017	324
758	1018	323
759	1018	321
760	1019	320
761	1019	318
762	1020	316
763	1020	315
764	1021	313
765	1022	312
766	1022	310
767	1023	309
768	1023	307
769	1024	306
770	1025	304
771	1025	302
772	1026	301
773	1026	299
774	1027	298
775	1027	296
776	1028	295
777	1029	293
778	1029	292
779	1030	290
780	1030	289
781	1031	287
782	1031	285
783	1032	284
784	1033	282
785	1033	281
786	1034	279
787	1034	278
788	1035	276
789	1035	275
790	1036	273
791	1037	272
792	1037	270
793	1038	269
794	1038	267
795	1039	266
796	1039	264
797	1040	263
798	1040	261
799	1041	260
800	1042	258
801	1042	257
802	1043	255
803	1044	254
804	1044	253
805	1045	251
806	1046	250
807	1046	248
808	1047	247
809	1047	245
810	1048	244
811	1049	242
812	1049	241
813	1050	240
814	1050	238
815	1051	237
816	1051	235
817	1052	234
818	1052	232
819	1053	231
820	1054	229
821	1054	228
822	1055	227
823	1056	225
824	1056	224
825	1057	222
826	1057	221
827	1058	219
828	1059	218
829	1059	217
830	1060	215
831	1060	214
832	1061	212
833	1062	211
834	1062	210
835	1063	208
836	1064	207
837	1064	205
838	1065	204
839	1065	203
840	1066	201
841	1067	200
842	1067	198
843	1068	197
844	1069	196
845	1069	194
846	1070	193
847	1071	192
848	1071	190
849	1072	189
850	1072	187
851	1073	186
852	1074	185
853	1074	183
854	1075	182
855	1076	181
856	1076	179
857	1077	178
858	1078	176
859	1078	175
860	1079	174
861	1079	172
862	1080	171
863	1081	170
864	1081	168
865	1082	167
866	1082	166
867	1083	164
868	1084	163
869	1084	162
870	1085	160
871	1086	159
872	1086	158
873	1087	156
874	1087	155
875	1088	154
876	1089	152
877	1089	151
878	1090	150
879	1091	148
880	1091	147
881	1092	146
882	1093	144
883	1093	143
884	1094	142
885	1094	140
886	1095	139
887	1095	138
888	1096	136
889	1097	135
890	1097	134
891	1098	132
892	1098	131
893	1099	130
894	1100	129
895	1100	127
896	1101	126
897	1101	125
898	1103	123
899	1104	122
900	1105	121
901	1106	120
902	1108	119
903	1108	117
904	1110	116
905	1111	115
906	1112	114
907	1112	112
908	1113	111
909	1114	110
910	1115	108
911	1115	107
912	1116	106
913	1117	105
914	1119	104
915	1121	102
916	1122	101
917	1123	100
918	1124	99
919	1124	97
920	1125	96
921	1126	95
922	1127	94
923	1128	92
924	1129	91
925	1131	90
926	1131	89
927	1133	87
928	1134	86
929	1135	85
930	1136	84
931	1136	82
932	1138	81
933	1139	80
934	1140	79
935	1141	78
936	1142	76
937	1142	75
938	1143	794939	1144	73
940	1144	794941	1146	70
942	1146	694943	1147	68
944	1148	695945	1148	695946	1149	695947	1150	6953	1151	55
954	1152	54
955	1153	53
956	1154	51
957	1154	50
958	1155	49
959	1156	48
960	1157	46
961	1157	45
962	1158	44
963	1159	43
964	1160	42
965	1161	40
966	1161	39
967	1162	38
968	1163	37
969	1164	36
970	1164	34
971	1165	33
972	1166	32
973	1167	31
974	1168	29
975	1168	28
976	1169	27
977	1170	26
978	1171	25
979	1171	23
980	1172	22
981	1173	21
982	1174	20
983	1175	19
984	1176	17
985	1177	16
986	1177	15
987	1178	14
988	1179	13
989	1180	11
990	1181	10
991	1181	9
992	1182	8
993	1183	7
994	1184	5
995	1185	4
996	1185	3
997	1186	2
998	1187	1
999	1188	0
1183	5
995	1183	4
996	1184	3
997	1185	2
998	1186	1
999	1186	0
